pos_x,pos_y,disp_x,disp_y,disp_xy_indi
6.0,78.0,-6.128803253173828,4.181724548339844,
6.0,84.0,-0.1076221466064453,4.1533203125,
6.0,90.0,1.064435958862305,-0.8882980346679688,
6.0,96.0,0.5862836837768555,2.9368438720703125,
6.0,102.0,2.324869155883789,-1.3357467651367188,
6.0,108.0,3.05655288696289,-1.47735595703125,
6.0,114.0,-0.1706171035766601,2.2771682739257812,
6.0,120.0,7.169886589050293,-4.1598052978515625,
6.0,126.0,5.839450836181641,-2.9784011840820312,
6.0,132.0,5.806763648986816,-3.049896240234375,
6.0,138.0,5.580170631408691,-3.0007476806640625,
6.0,144.0,5.686887741088867,-3.999267578125,
6.0,150.0,5.632341384887695,-3.233245849609375,
6.0,156.0,5.721531867980957,-4.4423370361328125,
6.0,162.0,5.198300361633301,-3.4211578369140625,
6.0,168.0,2.6138477325439453,-4.9087982177734375,
6.0,174.0,3.341859817504883,-4.992095947265625,
6.0,180.0,-10.292930603027344,6.83953857421875,
6.0,186.0,-10.659132957458496,7.050567626953125,
6.0,192.0,-10.403244018554688,7.729843139648437,
6.0,198.0,-10.479118347167969,7.299224853515625,
6.0,204.0,-8.234350204467773,12.653762817382812,
6.0,210.0,-7.777820587158203,14.231582641601562,
6.0,216.0,-8.299527168273926,15.837020874023438,
6.0,222.0,-8.740943908691406,15.24517822265625,
6.0,228.0,-9.904698371887209,16.82037353515625,
6.0,234.0,-28.95296859741211,14.590835571289062,
6.0,240.0,-26.24252700805664,10.88153076171875,
6.0,246.0,-23.461870193481445,-4.3917236328125,
6.0,252.0,-22.721420288085938,-6.0290374755859375,
6.0,258.0,-23.15168571472168,-7.25811767578125,
6.0,264.0,-15.731087684631348,-4.805145263671875,
6.0,270.0,-15.30883502960205,-4.893310546875,
6.0,276.0,-14.07322120666504,-5.276947021484375,
6.0,282.0,-15.766016960144045,-5.00360107421875,
6.0,288.0,-7.315969467163086,-1.317413330078125,
6.0,294.0,-4.8745927810668945,-0.714019775390625,
6.0,300.0,-2.833991765975952,-0.142974853515625,
